,system_name,kpi_name,value
0,3D机房可视,cpu,7.713041244389505
1,BPM应用,cpu,3.3883972277898495
2,ERP,cpu,1.1316000903367796
3,ESB服务,cpu,0.9289183581288584
4,ETL工具,cpu,0.3224632301048042
5,I6000,cpu,7.667730429382144
6,PMS(胜利公司),cpu,0.9395500098805553
7,S6000,cpu,22.582646867853914
8,一体化会务,cpu,47.08089969793738
9,一体化网瑞,cpu,12.731980775202556
10,人才开发管理,cpu,1.3463591451881805
11,体改综合管理,cpu,35.617760212291174
12,全链条预算,cpu,10.260350619654405
13,公网通信,cpu,1.210816701013454
14,内网移动应用,cpu,9.962194901613637
15,内网门户,cpu,5.8888275978884
16,凭据电子化,cpu,4.193027411568819
17,凭证协同,cpu,6.852176693108847
18,创新创效平台,cpu,0.7854027044575339
19,办公物资管理,cpu,0.8420814160291967
20,医保管理诊疗,cpu,1.0200000000000464
21,即时通讯,cpu,6.253247607486614
22,发票扫描,cpu,3.5802580244473914
23,变电运检,cpu,4.003821246083003
24,可靠性管理,cpu,0.7074567371481774
25,员工报销2.0,cpu,0.7399789684668937
26,品牌建设管理,cpu,2.503732038506048
27,国网链,cpu,11.856539536460541
28,增值税发票,cpu,4.012553990345261
29,安全例会,cpu,1.7044276317646379
30,安全基线,cpu,3.835332269994008
31,安全工器具,cpu,25.251306778082284
32,安全监督,cpu,0.56066510459307
33,审计全业务,cpu,0.6896033650452993
34,审计多维,cpu,1.3877665640967751
35,审计成果,cpu,3.4852549191203264
36,工会劳模系统,cpu,0.25484840357960575
37,市场化售电,cpu,0.9880975637297866
38,带电检测,cpu,17.12767848572961
39,应急指挥,cpu,5.632643762527302
40,态势感知,cpu,4.472461818592384
41,房地资源,cpu,0.32282725912534094
42,教培大数据,cpu,13.337693588910954
43,数字化审计,cpu,1.758896620839709
44,数字证书,cpu,0.11000000000003723
45,数据库同步,cpu,0.3880148491093627
46,数据标注,cpu,7.415897157214184
47,新媒体管理,cpu,12.288882223414216
48,智慧供应链,cpu,14.776214182875556
49,架空线路巡检,cpu,5.61999999999876
50,桌面标准化,cpu,4.368627868898113
51,民主管理,cpu,1.6659924342941377
52,海量平台,cpu,7.862678909183276
53,物联管理平台,cpu,3.080000000001474
54,物资工作,cpu,0.7400000000004815
55,物资抽检,cpu,1.0922292013663468
56,现场作业,cpu,1.9491176636648542
57,现货交易,cpu,6.784807328571893
58,现货结算,cpu,2.41924385286388
59,班组一体化,cpu,0.2900000000001501
60,班组信息化,cpu,1.4706149959066115
61,班组建设,cpu,2.916482511362675
62,班组移动,cpu,1.35526451740395
63,生产管理2.0,cpu,2.295948395110522
64,电力交易,cpu,10.006443694774626
65,电子文件管理,cpu,50.603354458955735
66,电子标签系统,cpu,0.06027058690678118
67,电网GIS,cpu,0.6348382406910703
68,电网建设专题,cpu,25.31618185924963
69,电能质量监测,cpu,21.36472659006876
70,社保基金,cpu,1.6845452107387942
71,移动仓储,cpu,38.54397368940125
72,移动办公,cpu,13.013792027778665
73,移动终端安全,cpu,0.6029990401716313
74,移动终端管控,cpu,4.48725940772949
75,线损可视化,cpu,0.9862397312480444
76,线损理论计算,cpu,1.3652043869802013
77,统一数据,cpu,15.750247720407668
78,统一权限,cpu,1.4766027722101436
79,统一短信,cpu,1.0622887671851424
80,统一视频,cpu,9.086426756627118
81,统一车辆管理,cpu,0.817594924202501
82,综合电压,cpu,0.2564853343872349
83,综合计划储备,cpu,0.4291485757840765
84,网上电网,cpu,0.8120290489231423
85,职工之家,cpu,0.4673583547412414
86,自动化运维,cpu,6.347159049205383
87,自建运维审计,cpu,0.40729173136086494
88,营配贯通,cpu,0.5355017926206437
89,营销业务管理,cpu,1.1996119752703585
90,营销数据,cpu,0.8530086384552572
91,营销稽查,cpu,5.933462157355425
92,行为审计,cpu,31.028411201761376
93,计划审查,cpu,38.54397368940125
94,财务管控,cpu,2.189782627106689
95,资产决策,cpu,7.386757756259639
96,车辆定位,cpu,10.017665640967685
97,输变电监测,cpu,18.85586906811957
98,运营平台,cpu,5.428701832142917
99,运营监测,cpu,13.278853710865777
100,配网标准化,cpu,0.3048455805549557
101,防灾减灾,cpu,6.2273901137680285
102,项目全过程,cpu,1.8762243457641665
103,高压精益化,cpu,5.3823579312879835
